username,is_present
fake0_6807,0
fake1_2924,0
mighty_falcon_75543,1
fake3_9458,0
fake4_8425,0
fake5_5729,0
fake6_5336,0
fake7_4432,0
fake8_6246,0
lucky_koala_29486,1
user69139,1
user11415,1
fake12_4453,0
fuzzy_panda_52317,1
silent_dragon_76977,1
fake15_1872,0
lucky_lynx_9510,1
unv64p_67509,1
vj8ayb_78220,1
6v4qnx_8995,1
tcc27x_31490,1
fake21_1092,0
tkq1ds_20840,1
user48427,1
s4xzes_1789,1
fake25_9355,0
fake26_2243,0
z9b4uf_19711,1
2a9xjz_65226,1
user55819,1
x80bja_24840,1
user19458,1
fake32_3036,0
mighty_falcon_79127,1
fake34_9009,0
sglla9_56135,1
bright_llama_19706,1
fake37_3687,0
user98691,1
fake39_3264,0
mighty_tiger_65863,1
user55739,1
fake42_6874,0
fake43_7134,0
brave_falcon_9363,1
x7xp90_34088,1
tvrbrp_65775,1
fake47_6761,0
clever_llama_25532,1
fake49_8904,0
mighty_tiger_35079,1
fake51_9202,0
fake52_1727,0
user35618,1
fake54_6705,0
0bcn02_74333,1
fake56_1257,0
user37275,1
user70406,1
user47092,1
user77257,1
fake61_6614,0
fake62_6498,0
user49977,1
user85243,1
fake65_7208,0
fake66_7392,0
fake67_1176,0
fake68_5112,0
fake69_5506,0
fake70_6869,0
fake71_6110,0
fake72_2008,0
fake73_2719,0
lucky_falcon_46678,1
fake75_3658,0
v8j4o1_15082,1
0nk612_81496,1
fake78_4542,0
fake79_3154,0
fake80_6684,0
fake81_8174,0
fake82_1467,0
user23716,1
brave_panda_32475,1
mighty_lynx_29799,1
bright_otter_71818,1
fake87_1576,0
silent_lynx_23585,1
wrxegc_68327,1
fake90_5412,0
fake91_2491,0
fake92_8659,0
fake93_5931,0
user18772,1
user36031,1
fake96_7515,0
clever_otter_83212,1
fake98_5091,0
fake99_4552,0
fake100_7552,0
clever_otter_44300,1
fake102_3500,0
fake103_1447,0
vkzq15_37387,1
fake105_2572,0
fake106_2776,0
9qdti0_61742,1
fuzzy_otter_79885,1
fake109_4780,0
bright_panda_27546,1
fake111_7893,0
fake112_1647,0
0psafx_54113,1
user25200,1
fake115_7086,0
fake116_7639,0
user3563,1
fake118_2858,0
fake119_5558,0
fake120_2824,0
fake121_6606,0
user77750,1
user98312,1
silent_otter_41801,1
fuzzy_llama_12989,1
fake126_3305,0
swift_falcon_5584,1
sr81lh_25271,1
fake129_6248,0
fake130_8027,0
fake131_1684,0
fake132_2657,0
user91530,1
fake134_3470,0
fake135_2264,0
fake136_8519,0
mighty_dragon_70967,1
fake138_7219,0
fake139_5562,0
fake140_8971,0
fake141_3922,0
fake142_5943,0
fake143_7583,0
user75687,1
user93973,1
user27909,1
fake147_9666,0
w560l1_2883,1
fake149_4126,0
user24141,1
lucky_falcon_8278,1
swift_lynx_95200,1
fake153_9255,0
01wz22_55550,1
0ogsst_38888,1
user20458,1
user19861,1
brave_panda_53787,1
8xqrup_28066,1
fake160_4866,0
fake161_5768,0
fake162_2797,0
user75055,1
silent_panda_41369,1
z5kc70_14689,1
fuzzy_lynx_91557,1
mighty_lynx_84711,1
fake168_9846,0
fake169_2564,0
5r9jdx_58902,1
clever_falcon_6740,1
fake172_6138,0
sjjlh3_29490,1
user98589,1
fake175_8095,0
fake176_9002,0
mighty_koala_41967,1
zjfz02_42440,1
fake179_2001,0
tgw1sn_52179,1
clever_falcon_58388,1
fake182_6219,0
brave_otter_93195,1
fake184_1108,0
fake185_7973,0
user86632,1
fuzzy_falcon_42453,1
fake188_9902,0
fake189_2546,0
fake190_1260,0
fake191_7686,0
fake192_2007,0
user17897,1
user46846,1
6r3oik_73038,1
bright_dragon_95282,1
fake197_7663,0
fake198_3773,0
2zrwkc_92868,1
user53426,1
fake201_1844,0
fake202_1059,0
user82621,1
fake204_3937,0
fake205_9936,0
2y5pwz_48519,1
user6042,1
user88126,1
fake209_3985,0
fuzzy_tiger_57797,1
user9231,1
lucky_koala_20910,1
3cqjxk_23822,1
0ar8aa_54004,1
user38606,1
fake216_9086,0
xhwshd_86833,1
fake218_6866,0
4wvyus_15126,1
lucky_koala_61166,1
user15184,1
fake222_7021,0
silent_koala_28329,1
fake224_7985,0
swift_dragon_48944,1
user90454,1
t9kdwc_84824,1
fake228_6136,0
lucky_otter_16398,1
user83478,1
fake231_3385,0
fake232_5026,0
user53396,1
user1710,1
ua1qec_76560,1
fake236_1243,0
fake237_6445,0
fake238_3696,0
fake239_1067,0
tx4i2s_45354,1
fake241_7963,0
fake242_1650,0
user46218,1
fake244_9178,0
fake245_4145,0
lucky_otter_34318,1
user3261,1
fake248_2308,0
fake249_7600,0
user51786,1
fake251_6826,0
s19kuz_92395,1
bright_dragon_33138,1
user52930,1
fake255_9284,0
5ev0so_9387,1
fake257_6822,0
fuzzy_tiger_97157,1
user2484,1
user19879,1
fake261_4786,0
fake262_6601,0
fake263_6444,0
user53171,1
fake265_1663,0
user70574,1
clever_koala_73196,1
fake268_5013,0
fake269_7732,0
zt3e2o_31269,1
fake271_1965,0
3efux8_50064,1
silent_tiger_89793,1
fake274_9128,0
fake275_9687,0
fake276_4552,0
zvwnnh_10818,1
fake278_6771,0
user12721,1
vi23am_33686,1
fake281_7935,0
49uzuz_53488,1
fake283_6901,0
fake284_5670,0
yk3h01_29193,1
fake286_5167,0
mighty_otter_17807,1
mighty_lynx_56743,1
fuzzy_llama_9149,1
fake290_9090,0
439jh2_55078,1
user48327,1
fake293_9173,0
silent_koala_83881,1
user56017,1
silent_koala_45801,1
user24893,1
fuzzy_falcon_29781,1
scoua6_20270,1
fake300_9134,0
fuzzy_lynx_76773,1
user87761,1
fake303_3438,0
fuzzy_lynx_15269,1
fake305_9464,0
yyt3iv_67270,1
fake307_6602,0
fake308_1795,0
fake309_9508,0
bright_koala_28394,1
fake311_3506,0
fake312_6433,0
fake313_7050,0
user78393,1
fake315_4453,0
brave_tiger_1411,1
fake317_7931,0
uftbz0_60263,1
t2h8xy_92268,1
brave_lynx_26019,1
fake321_9761,0
fuzzy_falcon_44693,1
fake323_4861,0
fake324_3413,0
1wfo8n_32615,1
fake326_3310,0
t7jaat_6648,1
fake328_7018,0
fake329_9726,0
fake330_8996,0
fake331_8882,0
user84750,1
fake333_1271,0
fuzzy_panda_43293,1
6lbadq_12167,1
0m3evc_85461,1
fake337_8423,0
mighty_koala_86575,1
user84038,1
fake340_3493,0
sqo0z9_49327,1
fake342_9235,0
fake343_9949,0
fake344_9439,0
fake345_4733,0
fake346_9871,0
mighty_otter_43087,1
fake348_7901,0
fake349_9323,0
bright_lynx_19938,1
xlwqw4_38687,1
mighty_lynx_71719,1
fake353_1232,0
fake354_6126,0
fake355_7727,0
fake356_1016,0
94s6o1_38921,1
fake358_2827,0
fake359_1039,0
fake360_3263,0
fake361_3074,0
fake362_1918,0
z0qxp9_95589,1
tvnglx_2120,1
y666c7_11571,1
clever_koala_18028,1
fake367_6687,0
0ivfs6_40731,1
fake369_6973,0
fake370_5961,0
fake371_6256,0
fake372_1746,0
fake373_7013,0
fake374_8444,0
silent_koala_67177,1
user74279,1
swift_lynx_9504,1
0o2puz_37739,1
5tt3dg_81997,1
fake380_5272,0
fake381_9263,0
fake382_7771,0
swift_llama_74104,1
user67247,1
fake385_1195,0
fake386_1225,0
user69010,1
fake388_9073,0
fake389_3124,0
z0sbae_89170,1
yu2cvy_56244,1
user38937,1
fake393_8199,0
yqtajs_3468,1
9tpd2f_85439,1
fake396_8727,0
fake397_8891,0
mighty_otter_32399,1
fake399_9761,0
mighty_dragon_83575,1
fake401_6352,0
1ao821_37892,1
bright_dragon_94962,1
fake404_6755,0
fake405_8738,0
user124,1
fake407_1333,0
fake408_9234,0
fake409_4882,0
fake410_8883,0
fake411_1540,0
fake412_6719,0
mighty_llama_77567,1
fuzzy_falcon_43413,1
fake415_4042,0
brave_dragon_2099,1
mighty_lynx_26663,1
user55316,1
fake419_5358,0
fake420_7574,0
user71533,1
fake422_4597,0
fake423_1754,0
fake424_5045,0
user98102,1
user44876,1
fake427_4826,0
fake428_1012,0
brave_llama_61755,1
user99830,1
fake431_7761,0
72rlny_523,1
fake433_1877,0
fake434_2533,0
fake435_2597,0
fake436_6508,0
u5klqa_50139,1
fake438_8569,0
fake439_5842,0
user35728,1
fake441_4888,0
user91034,1
w42roo_52475,1
fake444_4131,0
user68877,1
fake446_2902,0
user39086,1
fake448_2100,0
3jv0yb_5731,1
silent_panda_6489,1
ve7xle_38371,1
fake452_5964,0
fake453_5775,0
fake454_7743,0
fake455_3907,0
silent_koala_69225,1
fake457_4540,0
fake458_2860,0
fake459_5074,0
fake460_6939,0
fake461_7885,0
fake462_4761,0
user4629,1
fake464_2032,0
fake465_5810,0
lucky_tiger_2118,1
fake467_4592,0
fake468_3241,0
swift_otter_456,1
fake470_7296,0
fake471_6394,0
fake472_2370,0
fake473_9767,0
x3gjyt_10703,1
user70784,1
user81806,1
fake477_2761,0
fake478_3139,0
fake479_2080,0
fake480_3012,0
uchcf3_33647,1
user20847,1
user11113,1
user1274,1
fake485_8054,0
user12548,1
fake487_7525,0
tnub4n_5399,1
bright_tiger_6210,1
y54aih_21401,1
user28837,1
user89066,1
z5djgr_18578,1
fake494_4185,0
8ctfmt_18278,1
fake496_4289,0
user73698,1
user74155,1
fake499_6026,0
fake500_3337,0
fake501_5694,0
wxo794_60847,1
fake503_6333,0
bright_panda_14682,1
fake505_4158,0
fake506_2181,0
slngvv_44364,1
fake508_2897,0
fake509_4058,0
fake510_1690,0
fake511_2417,0
user99602,1
fake513_5091,0
bright_lynx_65698,1
fake515_5189,0
4lfzx3_9722,1
clever_panda_15644,1
fake518_2491,0
fake519_4961,0
28qkk8_9810,1
0o68ej_5719,1
6z0r5y_27746,1
silent_koala_66857,1
bright_koala_7466,1
mighty_dragon_50167,1
mighty_otter_11279,1
wn8jq2_15516,1
user81379,1
user58824,1
fake530_7945,0
fake531_5638,0
fake532_2185,0
fake533_7154,0
mighty_falcon_29463,1
fake535_6317,0
user68453,1
fake537_7367,0
sxmg2x_13185,1
bright_llama_9274,1
fake540_6201,0
fake541_6579,0
fake542_7878,0
fake543_2223,0
fake544_5295,0
brave_koala_91819,1
fake546_6606,0
user78851,1
fake548_1524,0
user2515,1
fake550_4030,0
fake551_7684,0
user30825,1
fake553_1967,0
fake554_7323,0
fake555_7269,0
8bb2wx_75581,1
fake557_9878,0
ugcays_24645,1
fake559_5747,0
52psis_38722,1
user87665,1
fake562_4600,0
fake563_3656,0
fake564_8323,0
fake565_3212,0
yfybtu_5766,1
wrbsif_19102,1
fake568_4066,0
silent_otter_10569,1
zw8rij_6370,1
fake571_5412,0
0y8ebq_91807,1
user5422,1
0gwhv7_20667,1
brave_falcon_18963,1
fake576_7364,0
vcxp75_37911,1
user8595,1
fake579_2249,0
user93483,1
fake581_5591,0
fake582_4609,0
fake583_1173,0
vba0t8_97770,1
swift_panda_20760,1
fake586_7261,0
5s99ke_32306,1
fake588_1327,0
fake589_1166,0
fuzzy_falcon_75989,1
user31596,1
bright_llama_77882,1
fake593_3515,0
fake594_1456,0
fake595_9736,0
uixpev_97828,1
swift_falcon_56080,1
fake598_4533,0
user4207,1
swift_llama_25080,1
fake601_5546,0
fake602_1219,0
fake603_5662,0
user67683,1
fake605_9418,0
fake606_9691,0
wzc7og_6490,1
fake608_9062,0
fake609_1485,0
fake610_2243,0
fake611_9810,0
fake612_4478,0
user89418,1
fuzzy_falcon_15957,1
fake615_7526,0
fake616_3364,0
ssjm0y_38696,1
user92484,1
fake619_2512,0
06jj5n_58023,1
fake621_2340,0
tid5u1_4563,1
user32846,1
user4559,1
fake625_1504,0
urfc2f_2633,1
fake627_6047,0
user433,1
fake629_4378,0
fake630_5386,0
fake631_3267,0
yif3je_47837,1
fake633_4213,0
user66541,1
fake635_2679,0
fake636_7406,0
fake637_4653,0
fake638_6524,0
mighty_llama_10623,1
swift_koala_36392,1
t4fw31_63199,1
fake642_1853,0
fake643_3466,0
z8cbdg_96714,1
fake645_1515,0
fake646_8347,0
brave_panda_66011,1
fake648_6521,0
fake649_2110,0
fake650_1595,0
t8rnek_94811,1
brave_otter_87179,1
fake653_2831,0
fake654_6462,0
